Metric,Description,Normalized,Log
POSIX_CONSEC_WRITES_PERC,Ratio of writes that are consecutive,by total writes,default
POSIX_F_VARIANCE_RANK_TIME,Variance of total I/O time moved for all ranks (for shared files),No,default
POSIX_F_VARIANCE_RANK_BYTES,Variance of total I/O bytes moved for all ranks (for shared files),No,default
READ_after_READ,Ratio of reads that follow another read operation,by total reads,dtx
WRITE_after_READ,Ratio of writes that follow a read,by total writes,dtx
WRITE_after_WRITE,Ratio of writes that follow another write,by total writes,dtx
Perc_ranks_READS,Ratio of ranks that are doing reads,by total ranks involved in IO,dtx
Perc_ranks_WRITES,Ratio of ranks that are doing writes,by total ranks involved in IO,dtx
Ranks_read_write,Ratio of ranks doing both read and write,by total ranks involved in IO,dtx
Ranks_read_only,Ratio of ranks doing only read,by total ranks involved in IO,dtx
Ranks_write_only,Ratio of ranks doing only write,by total ranks involved in IO,dtx
File_one_rank,Ratio of files that are accessed by only one rank,by total files,dtx
File_multiple_ranks,Ratio of files that are accessed by multiple ranks,by total files,dtx
Consecutive_rank_IO,Consecutive accesses to the same file by the same rank,by total accesses,dtx
Switched_rank_IO,Consecutive accesses to the same file by different ranks,by total accesses,dtx
Perc_overlap_access,Ratio of accesses that overlap with other access,by total accesses,dtx
READ_perc_overlap,Ratio of reads that overlap with other accesses of any kind,by total reads,dtx
WRITE_perc_overlap,Ratio of writes that overlap other writes,by total writes,dtx
